                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1364,                 0.7641,                      1,                 1.1353,             0.00019278,             0.00019278,             0.00019278
                      2,                0.69108,                0.82564,                      1,                0.90318,             0.00038881,             0.00038881,             0.00038881
                      3,                 0.3809,                0.92308,                      1,                0.85484,             0.00058089,             0.00058089,             0.00058089
                      4,                0.23161,                0.95897,                      1,                0.79471,             0.00069279,             0.00069279,             0.00069279
                      5,                0.15501,                0.97949,                      1,                0.77253,             0.00068573,             0.00068573,             0.00068573
                      6,                0.08635,                0.97949,                      1,                0.76144,             0.00067866,             0.00067866,             0.00067866
                      7,                0.08099,                0.98974,                      1,                0.75488,             0.00067159,             0.00067159,             0.00067159
                      8,                 0.0566,                0.98462,                      1,                0.75711,             0.00066452,             0.00066452,             0.00066452
                      9,                0.04976,                0.98974,                      1,                0.75272,             0.00065745,             0.00065745,             0.00065745
                     10,                0.05306,                0.98974,                      1,                0.75516,             0.00065038,             0.00065038,             0.00065038
                     11,                0.04922,                0.99487,                      1,                 0.7507,             0.00064331,             0.00064331,             0.00064331
                     12,                0.07485,                0.98974,                      1,                0.75293,             0.00063625,             0.00063625,             0.00063625
                     13,                0.04544,                0.99487,                      1,                0.74951,             0.00062918,             0.00062918,             0.00062918
                     14,                0.04655,                0.99487,                      1,                0.75021,             0.00062211,             0.00062211,             0.00062211
                     15,                0.03435,                0.99487,                      1,                0.74951,             0.00061504,             0.00061504,             0.00061504
                     16,                 0.0559,                0.99487,                      1,                0.74944,             0.00060797,             0.00060797,             0.00060797
                     17,                0.04215,                0.99487,                      1,                   0.75,              0.0006009,              0.0006009,              0.0006009
                     18,                0.05172,                0.98974,                      1,                0.75167,             0.00059383,             0.00059383,             0.00059383
                     19,                0.05441,                0.99487,                      1,                0.75342,             0.00058677,             0.00058677,             0.00058677
                     20,                0.03286,                0.99487,                      1,                0.75056,              0.0005797,              0.0005797,              0.0005797
                     21,                0.02882,                0.98974,                      1,                0.75202,             0.00057263,             0.00057263,             0.00057263
                     22,                0.02889,                0.99487,                      1,                0.75007,             0.00056556,             0.00056556,             0.00056556
                     23,                0.03227,                0.99487,                      1,                0.79269,             0.00055849,             0.00055849,             0.00055849
                     24,                0.04561,                0.99487,                      1,                0.74888,             0.00055142,             0.00055142,             0.00055142
                     25,                0.04684,                0.99487,                      1,                0.75007,             0.00054435,             0.00054435,             0.00054435
                     26,                0.03148,                0.99487,                      1,                0.75077,             0.00053728,             0.00053728,             0.00053728
                     27,                0.02574,                0.97949,                      1,                0.76653,             0.00053022,             0.00053022,             0.00053022
                     28,                0.03342,                0.99487,                      1,                0.74979,             0.00052315,             0.00052315,             0.00052315
                     29,                0.02138,                0.99487,                      1,                   0.75,             0.00051608,             0.00051608,             0.00051608
                     30,                0.02876,                0.99487,                      1,                0.75014,             0.00050901,             0.00050901,             0.00050901
                     31,                0.02655,                0.99487,                      1,                0.74979,             0.00050194,             0.00050194,             0.00050194
                     32,                0.03029,                0.99487,                      1,                 0.7493,             0.00049487,             0.00049487,             0.00049487
                     33,                 0.0165,                0.99487,                      1,                0.75579,              0.0004878,              0.0004878,              0.0004878
                     34,                0.03011,                0.99487,                      1,                0.75112,             0.00048074,             0.00048074,             0.00048074
                     35,                0.03625,                0.98974,                      1,                0.75237,             0.00047367,             0.00047367,             0.00047367
                     36,                0.02743,                0.99487,                      1,                0.74993,              0.0004666,              0.0004666,              0.0004666
                     37,                0.03941,                0.99487,                      1,                0.74993,             0.00045953,             0.00045953,             0.00045953
                     38,                0.02103,                0.98974,                      1,                0.75593,             0.00045246,             0.00045246,             0.00045246
                     39,                0.02278,                0.98974,                      1,                0.75572,             0.00044539,             0.00044539,             0.00044539
                     40,                  0.017,                0.98974,                      1,                0.75342,             0.00043832,             0.00043832,             0.00043832
                     41,                0.01319,                0.99487,                      1,                0.75146,             0.00043126,             0.00043126,             0.00043126
                     42,                0.01007,                0.98974,                      1,                0.75195,             0.00042419,             0.00042419,             0.00042419
                     43,                0.01921,                0.98974,                      1,                0.75251,             0.00041712,             0.00041712,             0.00041712
                     44,                0.02401,                0.99487,                      1,                0.74951,             0.00041005,             0.00041005,             0.00041005
                     45,                0.01144,                0.99487,                      1,                0.75607,             0.00040298,             0.00040298,             0.00040298
                     46,                 0.0231,                0.99487,                      1,                0.74937,             0.00039591,             0.00039591,             0.00039591
                     47,                0.02002,                0.99487,                      1,                0.75028,             0.00038884,             0.00038884,             0.00038884
                     48,                0.02416,                0.98974,                      1,                0.75049,             0.00038178,             0.00038178,             0.00038178
                     49,                0.01845,                0.99487,                      1,                0.75007,             0.00037471,             0.00037471,             0.00037471
                     50,                0.01714,                0.99487,                      1,                0.75014,             0.00036764,             0.00036764,             0.00036764
                     51,                0.01915,                0.99487,                      1,                0.75084,             0.00036057,             0.00036057,             0.00036057
                     52,                 0.0296,                0.99487,                      1,                0.75077,              0.0003535,              0.0003535,              0.0003535
                     53,                0.01243,                0.99487,                      1,                   0.75,             0.00034643,             0.00034643,             0.00034643
                     54,                0.03839,                0.99487,                      1,                0.75063,             0.00033936,             0.00033936,             0.00033936
                     55,                0.02595,                0.99487,                      1,                0.75091,              0.0003323,              0.0003323,              0.0003323
                     56,                0.01562,                0.99487,                      1,                0.74965,             0.00032523,             0.00032523,             0.00032523
                     57,                0.02227,                0.99487,                      1,                0.74986,             0.00031816,             0.00031816,             0.00031816
                     58,                0.01831,                0.99487,                      1,                0.74958,             0.00031109,             0.00031109,             0.00031109
                     59,                 0.0176,                0.99487,                      1,                0.74909,             0.00030402,             0.00030402,             0.00030402
                     60,                0.01086,                0.99487,                      1,                0.74916,             0.00029695,             0.00029695,             0.00029695
                     61,                0.01243,                0.99487,                      1,                0.74944,             0.00028988,             0.00028988,             0.00028988
                     62,                0.02417,                0.99487,                      1,                0.74986,             0.00028282,             0.00028282,             0.00028282
                     63,                0.00821,                0.99487,                      1,                 0.7514,             0.00027575,             0.00027575,             0.00027575
                     64,                0.01341,                0.98974,                      1,                0.75335,             0.00026868,             0.00026868,             0.00026868
                     65,                 0.0075,                0.98974,                      1,                  0.753,             0.00026161,             0.00026161,             0.00026161
                     66,                0.01223,                0.98974,                      1,                0.75153,             0.00025454,             0.00025454,             0.00025454
                     67,                0.01845,                0.98974,                      1,                 0.7507,             0.00024747,             0.00024747,             0.00024747
                     68,                0.00726,                0.98974,                      1,                0.75084,              0.0002404,              0.0002404,              0.0002404
                     69,                0.01798,                0.99487,                      1,                0.75007,             0.00023334,             0.00023334,             0.00023334
                     70,                0.00949,                0.99487,                      1,                 0.7507,             0.00022627,             0.00022627,             0.00022627
                     71,                0.01191,                0.99487,                      1,                0.75063,              0.0002192,              0.0002192,              0.0002192
                     72,                 0.0128,                0.99487,                      1,                0.75042,             0.00021213,             0.00021213,             0.00021213
                     73,                 0.0111,                0.99487,                      1,                0.74958,             0.00020506,             0.00020506,             0.00020506
                     74,                0.01432,                0.99487,                      1,                0.74944,             0.00019799,             0.00019799,             0.00019799
                     75,                0.00845,                0.99487,                      1,                0.74916,             0.00019092,             0.00019092,             0.00019092
                     76,                  0.013,                0.99487,                      1,                0.74895,             0.00018385,             0.00018385,             0.00018385
                     77,                0.00935,                0.99487,                      1,                0.74888,             0.00017679,             0.00017679,             0.00017679
                     78,                0.01397,                0.99487,                      1,                0.74902,             0.00016972,             0.00016972,             0.00016972
                     79,                0.01239,                0.99487,                      1,                0.74895,             0.00016265,             0.00016265,             0.00016265
                     80,                0.01971,                0.99487,                      1,                0.74874,             0.00015558,             0.00015558,             0.00015558
                     81,                0.01177,                0.99487,                      1,                0.74874,             0.00014851,             0.00014851,             0.00014851
                     82,                0.02478,                0.99487,                      1,                0.74854,             0.00014144,             0.00014144,             0.00014144
                     83,                0.00678,                0.99487,                      1,                0.74874,             0.00013437,             0.00013437,             0.00013437
                     84,                0.00915,                0.99487,                      1,                 0.7486,             0.00012731,             0.00012731,             0.00012731
                     85,                0.01043,                0.99487,                      1,                 0.7486,             0.00012024,             0.00012024,             0.00012024
                     86,                0.01151,                0.99487,                      1,                0.74847,             0.00011317,             0.00011317,             0.00011317
                     87,                0.01562,                0.99487,                      1,                0.74854,              0.0001061,              0.0001061,              0.0001061
                     88,                0.01009,                0.99487,                      1,                 0.7486,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.00856,                0.99487,                      1,                 0.7486,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.01387,                0.99487,                      1,                0.74854,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 0.0198,                0.99487,                      1,                0.74888,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.02249,                0.99487,                      1,                0.74895,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.01088,                0.99487,                      1,                 0.7493,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.01329,                0.99487,                      1,                0.74958,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.01497,                0.99487,                      1,                 0.7493,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.00974,                0.99487,                      1,                 0.7493,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.01726,                0.99487,                      1,                0.74923,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.00505,                0.99487,                      1,                0.74909,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.00886,                0.99487,                      1,                0.74895,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.00948,                0.99487,                      1,                0.74909,             1.4209e-05,             1.4209e-05,             1.4209e-05
